id,playerid,spin,zone,hit
1,1,LU,4,True
2,2,US,2,True
3,1,US,4,True
4,2,US,0,False
5,1,RU,0,False
6,2,RU,4,True
7,1,US,0,False
8,2,RD,0,False
9,1,RD,0,False
10,1,RD,3,True
11,2,US,4,True
12,1,RU,4,True
13,2,RD,6,True
14,1,DS,0,False
15,2,US,4,True
16,1,US,6,True
17,2,DS,0,False
18,2,RD,6,True
19,1,US,4,True
20,2,US,4,True
21,1,DS,4,True
22,2,LS,5,True
23,1,US,0,False
24,1,LD,0,False
25,1,LD,0,False
26,2,LU,3,True
27,1,US,5,True
28,2,LS,3,True
29,1,US,6,True
30,2,DS,6,True
31,1,US,5,True
32,2,US,0,False
33,2,LD,5,True
34,1,US,4,True
35,2,US,4,True
36,1,US,4,True
37,2,RU,0,False
38,1,RD,0,False
39,1,RD,0,False
40,2,LD,3,True
41,1,DS,0,False
42,2,LD,3,True
43,1,US,5,True
44,2,US,2,True
45,1,RS,4,True
46,2,RD,4,True
47,1,US,6,True
48,2,DS,3,True
49,1,US,1,True
50,2,RD,2,True
51,1,US,4,True
52,2,US,0,False
53,1,US,3,True
54,2,US,4,True
55,1,US,4,True
56,2,RD,0,False
57,1,US,0,False
58,2,LS,3,True
59,1,US,2,True
60,2,RS,6,True
61,1,US,4,True
62,2,LU,4,True
63,1,US,0,False
64,2,LU,4,True
65,1,US,4,True
66,2,US,0,False
67,1,LD,2,True
68,2,US,0,False
69,1,DS,0,False
70,2,LD,3,True
71,1,US,0,False
72,2,LD,3,True
73,1,US,5,True
74,2,US,6,True
75,1,US,6,True
76,2,US,4,True
77,1,US,4,True
78,2,DS,1,True
79,1,US,0,False
80,1,LD,0,False
81,1,LD,1,True
82,2,US,5,True
83,1,US,4,True
84,2,US,5,True
85,1,US,4,True
86,2,DS,1,True
87,1,US,4,True
88,2,US,5,True
89,1,US,5,True
90,2,RD,4,True
91,1,DS,6,True
92,2,US,5,True
93,1,US,6,True
94,2,US,0,False
95,2,LU,5,True
96,1,US,0,False
97,2,RD,0,False
98,1,LD,4,True
99,2,US,4,True
100,1,US,0,False
101,1,US,1,True
102,2,US,4,True
103,1,US,1,True
104,2,RS,4,True
105,1,NS,6,True
106,2,US,6,True
107,1,DS,6,True
108,2,US,0,False
109,2,LU,2,True
110,1,DS,6,True
111,2,LD,6,True
112,1,US,5,True
113,2,DS,6,True
114,1,NS,2,True
115,2,US,1,True
116,1,DS,6,True
117,2,US,0,False
118,2,RD,0,False
119,1,LD,3,True
120,2,NS,5,True
121,1,RD,0,False
122,1,DS,0,False
123,2,LD,3,True
124,1,LS,3,True
125,2,DS,6,True
126,1,RU,0,False
127,2,US,1,True
128,1,US,1,True
129,2,US,0,False
130,1,LU,6,True
131,2,DS,0,False
132,1,LU,5,True
133,2,RU,4,True
134,1,LD,0,False
135,2,LD,3,True
136,1,NS,4,True
137,2,RU,5,True
138,1,US,4,True
139,2,US,4,True
140,1,US,4,True
141,2,RS,5,True
142,1,US,0,False
143,2,LD,0,False
144,1,LU,0,False
145,1,RU,1,True
146,2,US,5,True
147,1,US,6,True
148,2,US,5,True
149,1,US,1,True
150,2,US,1,True
151,1,US,4,True
152,2,US,5,True
153,1,US,6,True
154,2,US,6,True
155,1,US,4,True
156,2,DS,4,True
157,1,US,4,True
158,2,US,0,False
159,2,DS,0,False
160,2,RD,0,False
161,1,DS,6,True
162,2,US,6,True
163,1,DS,5,True
164,2,LS,4,True
165,1,US,0,False
166,1,NS,1,True
167,2,US,6,True
168,1,US,4,True
169,2,NS,3,True
170,1,LU,0,False
171,2,RU,3,True
172,1,US,4,True
173,2,NS,5,True
174,1,US,4,True
175,2,US,1,True
176,1,US,0,False
177,2,RU,0,False
178,1,RD,4,True
179,2,RU,0,False
180,1,RU,3,True
181,2,US,4,True
182,1,US,3,True
183,2,RD,0,False
184,2,RU,1,True
185,1,DS,0,False
186,2,LU,3,True
187,1,US,0,False
188,1,LU,4,True
189,2,US,1,True
190,1,US,5,True
191,2,US,4,True
192,1,DS,4,True
193,2,US,0,False
194,1,LD,1,True
195,2,DS,4,True
196,1,US,1,True
197,2,US,5,True
198,1,LS,3,True
199,2,US,2,True
200,1,RU,0,False
201,2,RD,3,True
202,1,US,4,True
203,2,US,5,True
204,1,DS,0,False
205,2,LU,3,True
206,1,US,6,True
207,2,US,4,True
208,1,RD,4,True
209,2,US,0,False
210,1,RU,3,True
211,2,US,5,True
212,1,US,6,True
213,2,DS,2,True
214,1,US,0,False
215,1,LD,3,True
216,2,RU,5,True
217,1,US,6,True
218,2,LS,0,False
219,2,LD,4,True
220,1,DS,1,True
221,2,US,4,True
222,1,US,6,True
223,2,US,5,True
224,1,US,4,True
225,2,US,0,False
226,2,LD,0,False
227,1,LD,3,True
228,2,DS,6,True
229,1,US,2,True
230,2,US,0,False
231,1,NS,6,True
232,2,US,0,False
233,2,NS,3,True
234,1,US,3,True
235,2,US,5,True
236,1,US,3,True
237,2,US,4,True
238,1,US,4,True
239,2,US,4,True
240,1,DS,4,True
241,2,DS,3,True
242,1,US,4,True
243,2,RS,5,True
244,1,US,6,True
245,2,LS,4,True
246,1,US,0,False
247,2,RU,0,False
248,1,LU,3,True
249,2,LD,3,True
250,1,US,4,True
251,2,US,0,False
252,1,LD,6,True
253,2,RD,3,True
254,1,US,3,True
255,2,US,0,False
256,2,LD,2,True
257,1,NS,2,True
258,2,US,2,True
259,1,US,6,True
260,2,RS,5,True
261,1,DS,4,True
262,2,US,4,True
263,1,DS,4,True
264,2,DS,4,True
265,1,US,6,True
266,2,US,0,False
267,2,RD,2,True
268,1,US,4,True
269,2,LD,4,True
270,1,RD,6,True
271,2,US,0,False
272,1,LU,3,True
273,2,US,5,True
274,1,US,4,True
275,2,NS,5,True
276,1,DS,4,True
277,2,US,6,True
278,1,US,6,True
279,2,US,1,True
280,1,RU,4,True
281,2,LD,6,True
282,1,US,3,True
283,2,RU,4,True
284,1,US,4,True
285,2,US,4,True
286,1,US,3,True
287,2,US,4,True
288,1,US,4,True
289,2,US,4,True
290,1,US,0,False
291,1,RU,1,True
292,2,US,4,True
293,1,US,4,True
294,2,US,5,True
295,1,DS,4,True
296,2,US,4,True
297,1,US,0,False
298,2,US,1,True
299,1,US,6,True
300,2,DS,4,True
301,1,LD,6,True
302,2,US,4,True
303,1,US,4,True
304,2,US,2,True
305,1,LS,6,True
306,2,RS,4,True
307,1,US,4,True
308,2,US,3,True
309,1,US,4,True
310,2,LU,4,True
311,1,RS,4,True
312,2,RD,1,True
313,1,US,5,True
314,2,DS,4,True
315,1,US,6,True
316,2,US,6,True
317,1,LU,0,False
318,2,LU,4,True
319,1,US,3,True
320,2,US,0,False
321,1,LD,1,True
322,2,US,0,False
